question_set_title,question_number,question_type,question_text,options,correct_answer,matching_pairs,labels,explanation,hint,marks,drawing_template
ICT Knowledge Test 1,20,fill_blank,Rows in a spreadsheet are labeled with _______.,,numbers,,,,,1,
ICT Knowledge Test 1,21,mcq,What is a web browser used for?,"[""Create documents"", ""View websites"", ""Edit photos"", ""Play games only""]",View websites,,,,,1,
ICT Knowledge Test 1,22,mcq,What is cyberbullying?,"[""Playing games online"", ""Sending mean messages online"", ""Using the internet"", ""Watching videos""]",Sending mean messages online,,,,,1,
ICT Knowledge Test 1,23,fill_blank,USB stands for Universal _______ Bus.,,Serial,,,,,1,
ICT Knowledge Test 1,24,fill_blank,The worldwide network of computers is called the _______.,,internet,,,,,1,
ICT Knowledge Test 1,25,mcq,What does LAN stand for?,"[""Large Area Network"", ""Local Area Network"", ""Long Area Network"", ""Linked Area Network""]",Local Area Network,,,,,1,
ICT Knowledge Test 1,26,mcq,Which is personal information you should NOT share online?,"[""Your favorite color"", ""Your home address"", ""Your favorite book"", ""The weather""]",Your home address,,,,,1,
ICT Knowledge Test 1,27,fill_blank,A device that produces sound output is called a _______.,,speaker,,,,,1,
ICT Knowledge Test 1,28,written,What should you do if you see cyberbullying online?,,"Do not respond, take screenshots as evidence, block the person, report it to the platform, and tell a trusted adult.",,,,,3,
ICT Knowledge Test 1,29,fill_blank,URL stands for Uniform Resource _______.,,Locator,,,,,1,
ICT Knowledge Test 1,30,mcq,What should you do if a stranger online asks for your address?,"[""Give it to them"", ""Ask your parents first"", ""Never share and tell an adult"", ""Share if they seem nice""]",Never share and tell an adult,,,,,1,
ICT Knowledge Test 1,31,mcq,A network of computers within a school is called:,"[""WAN"", ""LAN"", ""MAN"", ""Internet""]",LAN,,,,,1,
ICT Knowledge Test 1,32,mcq,Cell A1 means:,"[""First row, first column"", ""Column A, Row 1"", ""First page"", ""First table""]","Column A, Row 1",,,,,1,
ICT Knowledge Test 1,33,fill_blank,Unwanted commercial email is called _______.,,spam,,,,,1,
ICT Knowledge Test 1,34,mcq,What is WiFi?,"[""A cable connection"", ""Wireless internet connection"", ""A computer brand"", ""A type of software""]",Wireless internet connection,,,,,1,
ICT Knowledge Test 1,35,mcq,Which device connects a computer to the internet?,"[""Monitor"", ""Keyboard"", ""Router"", ""Speaker""]",Router,,,,,1,
ICT Knowledge Test 1,36,matching,Match the network device to its function,,"Router-Connects networks, Switch-Connects devices in LAN, Modem-Converts signals, Server-Stores and shares data","[{""left"": ""Router"", ""right"": ""Connects networks""}, {""left"": ""Switch"", ""right"": ""Connects devices in LAN""}, {""left"": ""Modem"", ""right"": ""Converts signals""}, {""left"": ""Server"", ""right"": ""Stores and shares data""}]",,,,4,
ICT Knowledge Test 1,37,written,Explain the difference between system software and application software. Give one example of each.,,"System software (e.g., Windows) controls hardware and runs the computer. Application software (e.g., Word) helps users do specific tasks like writing documents.",,,,,3,
ICT Knowledge Test 1,38,matching,Match the function to what it does,,"SUM-Adds numbers, AVERAGE-Finds mean, MAX-Finds highest, MIN-Finds lowest","[{""left"": ""SUM"", ""right"": ""Adds numbers""}, {""left"": ""AVERAGE"", ""right"": ""Finds mean""}, {""left"": ""MAX"", ""right"": ""Finds highest""}, {""left"": ""MIN"", ""right"": ""Finds lowest""}]",,,,4,
ICT Knowledge Test 1,39,mcq,Which is NOT an operating system?,"[""Windows"", ""macOS"", ""Linux"", ""Microsoft Office""]",Microsoft Office,,,,,1,
ICT Knowledge Test 1,40,fill_blank,The software that controls all computer hardware is called the _______ system.,,operating,,,,,1,
ICT Knowledge Test 1,41,fill_blank,HTTP stands for HyperText Transfer _______.,,Protocol,,,,,1,
ICT Knowledge Test 1,42,drawing,Draw a simple network diagram showing 4 computers connected to a router.,,Diagram with router in center and 4 computers connected to it,,,,,4,"{""type"": ""freehand"", ""instructions"": ""Draw a star topology with router in center""}"
ICT Knowledge Test 1,43,written,Explain the difference between RAM and ROM.,,RAM (Random Access Memory) is temporary memory that loses data when powered off. ROM (Read Only Memory) is permanent memory that keeps data even when powered off.,,,,,3,
ICT Knowledge Test 1,44,fill_blank,CPU stands for _______ Processing Unit.,,Central,,,,,1,
ICT Knowledge Test 1,45,matching,Match the software to its purpose,,"Word-Writing documents, Excel-Making spreadsheets, PowerPoint-Creating presentations, Paint-Drawing pictures","[{""left"": ""Word"", ""right"": ""Writing documents""}, {""left"": ""Excel"", ""right"": ""Making spreadsheets""}, {""left"": ""PowerPoint"", ""right"": ""Creating presentations""}, {""left"": ""Paint"", ""right"": ""Drawing pictures""}]",,,,4,
ICT Knowledge Test 1,45,matching,Match the devices to their uses:,,"1-A,2-B,3-C,4-D","[{""left"": ""Keyboard"", ""right"": ""Input text""}, {""left"": ""Monitor"", ""right"": ""Display output""}, {""left"": ""Printer"", ""right"": ""Print documents""}, {""left"": ""Mouse"", ""right"": ""Point and click""}]",,,,4,
ICT Knowledge Test 1,46,mcq,What is a touchscreen?,"[""Only input device"", ""Only output device"", ""Both input and output device"", ""Storage device""]",Both input and output device,,,,,1,
ICT Knowledge Test 1,46,matching,Match the file types to their purposes:,,"1-A,2-B,3-C,4-D","[{""left"": "".doc"", ""right"": ""Word document""}, {""left"": "".jpg"", ""right"": ""Image file""}, {""left"": "".mp3"", ""right"": ""Audio file""}, {""left"": "".mp4"", ""right"": ""Video file""}]",,,,4,
ICT Knowledge Test 1,47,drawing,"Draw and label a simple computer system showing: Monitor, CPU (System Unit), Keyboard, and Mouse.",,"Drawing showing monitor, CPU unit, keyboard, and mouse with labels",,,,,4,"{""type"": ""freehand"", ""instructions"": ""Draw a computer setup with 4 components labeled""}"
ICT Knowledge Test 1,48,mcq,What symbol is used for a decision in a flowchart?,"[""Rectangle"", ""Diamond"", ""Oval"", ""Circle""]",Diamond,,,,,1,
Digital Skills Assessment 2,1,mcq,What does the lock icon in a browser address bar mean?,"[""Site is blocked"", ""Connection is secure"", ""Site is slow"", ""You cannot use the site""]",Connection is secure,,,,,1,
Digital Skills Assessment 2,2,fill_blank,A _______ is a program that lets you view websites.,,browser,,,,,1,
Digital Skills Assessment 2,3,fill_blank,Rows in a spreadsheet are labeled with _______.,,numbers,,,,,1,
Digital Skills Assessment 2,4,written,Give two advantages of using a computer network in a school.,,1. Share files and resources easily. 2. Share printers and internet connection. 3. Communicate through email. 4. Central storage and backup.,,,,,3,
Digital Skills Assessment 2,5,fill_blank,A _______ connects devices in a network and directs data traffic.,,router,,,,,1,
Digital Skills Assessment 2,6,written,Why is it important to update your operating system regularly?,,"Updates fix security problems, add new features, improve performance, and fix bugs that could cause the computer to malfunction.",,,,,3,
Digital Skills Assessment 2,7,fill_blank,The formula =A1+B1 will _______ the values in cells A1 and B1.,,add,,,,,1,
Digital Skills Assessment 2,8,mcq,Which is a search engine?,"[""Facebook"", ""Google"", ""WhatsApp"", ""Word""]",Google,,,,,1,
Digital Skills Assessment 2,9,mcq,"In Scratch, which block makes a sprite move?","[""say"", ""move"", ""wait"", ""ask""]",move,,,,,1,
Digital Skills Assessment 2,10,matching,Match the device to its type,,"Keyboard-Input, Monitor-Output, Hard Drive-Storage, Mouse-Input","[{""left"": ""Keyboard"", ""right"": ""Input""}, {""left"": ""Monitor"", ""right"": ""Output""}, {""left"": ""Hard Drive"", ""right"": ""Storage""}, {""left"": ""Mouse"", ""right"": ""Input""}]",,,,4,
Digital Skills Assessment 2,11,mcq,Which structure repeats a block of code multiple times?,"[""Selection"", ""Loop"", ""Sequence"", ""Variable""]",Loop,,,,,1,
Digital Skills Assessment 2,12,written,Explain why planning with a flowchart is important before writing code.,,"Flowcharts help visualize the logic, identify errors early, make code easier to write, and help others understand your plan.",,,,,3,
Digital Skills Assessment 2,13,drawing,"Draw and label a simple computer system showing: Monitor, CPU (System Unit), Keyboard, and Mouse.",,"Drawing showing monitor, CPU unit, keyboard, and mouse with labels",,,,,4,"{""type"": ""freehand"", ""instructions"": ""Draw a computer setup with 4 components labeled""}"
Digital Skills Assessment 2,14,fill_blank,A set of step-by-step instructions to solve a problem is called an _______.,,algorithm,,,,,1,
Digital Skills Assessment 2,15,fill_blank,Microsoft Excel is a _______ application.,,spreadsheet,,,,,1,
Digital Skills Assessment 2,16,written,What is the difference between a sequence and a loop in programming?,,A sequence runs instructions one after another in order. A loop repeats instructions multiple times until a condition is met.,,,,,3,
Digital Skills Assessment 2,17,mcq,What does WWW stand for?,"[""World Wide Web"", ""Wide World Web"", ""World Web Wide"", ""Web World Wide""]",World Wide Web,,,,,1,
Digital Skills Assessment 2,18,mcq,Which software helps edit photos?,"[""Notepad"", ""Calculator"", ""Photoshop"", ""VLC""]",Photoshop,,,,,1,
Digital Skills Assessment 2,19,fill_blank,A computer that provides services to other computers is called a _______.,,server,,,,,1,
Digital Skills Assessment 2,20,mcq,A spreadsheet software is used to:,"[""Write letters"", ""Organize data in rows and columns"", ""Draw pictures"", ""Play videos""]",Organize data in rows and columns,,,,,1,
Digital Skills Assessment 2,21,mcq,Which is an example of an operating system?,"[""Google Chrome"", ""Microsoft Word"", ""Windows"", ""Photoshop""]",Windows,,,,,1,
Digital Skills Assessment 2,22,drawing,Draw a flowchart showing the steps to make a cup of tea.,,"Flowchart with Start, Boil water, Add tea bag, Pour water, Wait, Remove tea bag, End",,,,,5,"{""type"": ""flowchart"", ""instructions"": ""Draw the process in order with correct symbols""}"
Digital Skills Assessment 2,23,matching,Match the function to what it does,,"SUM-Adds numbers, AVERAGE-Finds mean, MAX-Finds highest, MIN-Finds lowest","[{""left"": ""SUM"", ""right"": ""Adds numbers""}, {""left"": ""AVERAGE"", ""right"": ""Finds mean""}, {""left"": ""MAX"", ""right"": ""Finds highest""}, {""left"": ""MIN"", ""right"": ""Finds lowest""}]",,,,4,
Digital Skills Assessment 2,24,fill_blank,USB stands for Universal _______ Bus.,,Serial,,,,,1,
Digital Skills Assessment 2,25,written,Give three examples of input devices and explain what each does.,,1. Keyboard - allows typing text. 2. Mouse - allows pointing and clicking. 3. Microphone - allows recording sound.,,,,,3,
Digital Skills Assessment 2,26,mcq,What is a touchscreen?,"[""Only input device"", ""Only output device"", ""Both input and output device"", ""Storage device""]",Both input and output device,,,,,1,
Digital Skills Assessment 2,27,written,"Write the formula to add the values in cells B2, B3, B4, and B5.",,=SUM(B2:B5) or =B2+B3+B4+B5,,,,,2,
Digital Skills Assessment 2,28,fill_blank,Software that damages computers is called _______.,,malware,,,,,1,
Digital Skills Assessment 2,29,mcq,What does the IF statement check?,"[""A condition"", ""A variable name"", ""A file"", ""A website""]",A condition,,,,,1,
Digital Skills Assessment 2,30,fill_blank,CPU stands for _______ Processing Unit.,,Central,,,,,1,
Digital Skills Assessment 2,31,mcq,What symbol is used for a decision in a flowchart?,"[""Rectangle"", ""Diamond"", ""Oval"", ""Circle""]",Diamond,,,,,1,
Digital Skills Assessment 2,32,fill_blank,"To find the highest value, you use the _______ function.",,MAX,,,,,1,
Digital Skills Assessment 2,33,mcq,What does antivirus software do?,"[""Makes computer faster"", ""Protects from malware"", ""Creates documents"", ""Plays music""]",Protects from malware,,,,,1,
Digital Skills Assessment 2,34,mcq,"In Excel, what is a cell?","[""A row"", ""A column"", ""The intersection of a row and column"", ""A formula""]",The intersection of a row and column,,,,,1,
Digital Skills Assessment 2,35,mcq,Which is an output device?,"[""Mouse"", ""Keyboard"", ""Scanner"", ""Printer""]",Printer,,,,,1,
Digital Skills Assessment 2,36,mcq,What does WAN stand for?,"[""Wide Area Network"", ""Wireless Area Network"", ""Web Area Network"", ""World Area Network""]",Wide Area Network,,,,,1,
Digital Skills Assessment 2,37,fill_blank,A device that produces sound output is called a _______.,,speaker,,,,,1,
Digital Skills Assessment 2,38,written,List 3 rules for staying safe online.,,1. Never share personal information. 2. Use strong passwords. 3. Tell an adult if something makes you uncomfortable. 4. Only visit trusted websites.,,,,,3,
Digital Skills Assessment 2,39,mcq,Which storage device can hold the most data?,"[""CD"", ""Floppy disk"", ""Hard drive"", ""USB stick (4GB)""]",Hard drive,,,,,1,
Digital Skills Assessment 2,40,written,Explain the difference between LAN and WAN.,,"LAN (Local Area Network) covers a small area like a school or home. WAN (Wide Area Network) covers large areas, even countries. The internet is the largest WAN.",,,,,3,
Programming & Computing 3,1,mcq,What does antivirus software do?,"[""Makes computer faster"", ""Protects from malware"", ""Creates documents"", ""Plays music""]",Protects from malware,,,,,1,
Programming & Computing 3,2,mcq,Which structure repeats a block of code multiple times?,"[""Selection"", ""Loop"", ""Sequence"", ""Variable""]",Loop,,,,,1,
Programming & Computing 3,3,fill_blank,A _______ is a program that lets you view websites.,,browser,,,,,1,
Programming & Computing 3,4,drawing,Draw a simple network diagram showing 4 computers connected to a router.,,Diagram with router in center and 4 computers connected to it,,,,,4,"{""type"": ""freehand"", ""instructions"": ""Draw a star topology with router in center""}"
Programming & Computing 3,5,mcq,"In Scratch, which block makes a sprite move?","[""say"", ""move"", ""wait"", ""ask""]",move,,,,,1,
Programming & Computing 3,6,mcq,What does LAN stand for?,"[""Large Area Network"", ""Local Area Network"", ""Long Area Network"", ""Linked Area Network""]",Local Area Network,,,,,1,
Programming & Computing 3,7,mcq,Cell A1 means:,"[""First row, first column"", ""Column A, Row 1"", ""First page"", ""First table""]","Column A, Row 1",,,,,1,
Programming & Computing 3,8,written,Why is it important to update your operating system regularly?,,"Updates fix security problems, add new features, improve performance, and fix bugs that could cause the computer to malfunction.",,,,,3,
Programming & Computing 3,9,mcq,A network of computers within a school is called:,"[""WAN"", ""LAN"", ""MAN"", ""Internet""]",LAN,,,,,1,
Programming & Computing 3,10,mcq,What is a touchscreen?,"[""Only input device"", ""Only output device"", ""Both input and output device"", ""Storage device""]",Both input and output device,,,,,1,
Programming & Computing 3,11,fill_blank,CPU stands for _______ Processing Unit.,,Central,,,,,1,
Programming & Computing 3,12,mcq,What is an algorithm?,"[""A type of computer"", ""Step-by-step instructions"", ""A programming language"", ""A website""]",Step-by-step instructions,,,,,1,
Programming & Computing 3,13,written,What should you do if you see cyberbullying online?,,"Do not respond, take screenshots as evidence, block the person, report it to the platform, and tell a trusted adult.",,,,,3,
Programming & Computing 3,14,mcq,What symbol is used for a decision in a flowchart?,"[""Rectangle"", ""Diamond"", ""Oval"", ""Circle""]",Diamond,,,,,1,
Programming & Computing 3,15,written,"Write the formula to add the values in cells B2, B3, B4, and B5.",,=SUM(B2:B5) or =B2+B3+B4+B5,,,,,2,
Programming & Computing 3,16,matching,Match the internet term to its meaning,,"Browser-Views websites, Email-Electronic mail, Password-Secret code to login, Download-Get files from internet","[{""left"": ""Browser"", ""right"": ""Views websites""}, {""left"": ""Email"", ""right"": ""Electronic mail""}, {""left"": ""Password"", ""right"": ""Secret code to login""}, {""left"": ""Download"", ""right"": ""Get files from internet""}]",,,,4,
Programming & Computing 3,17,mcq,Which of these is an input device?,"[""Printer"", ""Speaker"", ""Keyboard"", ""Monitor""]",Keyboard,,,,,1,
Programming & Computing 3,18,mcq,Which storage device can hold the most data?,"[""CD"", ""Floppy disk"", ""Hard drive"", ""USB stick (4GB)""]",Hard drive,,,,,1,
Programming & Computing 3,19,fill_blank,Columns in a spreadsheet are labeled with _______.,,letters,,,,,1,
Programming & Computing 3,20,drawing,"Draw and label a simple computer system showing: Monitor, CPU (System Unit), Keyboard, and Mouse.",,"Drawing showing monitor, CPU unit, keyboard, and mouse with labels",,,,,4,"{""type"": ""freehand"", ""instructions"": ""Draw a computer setup with 4 components labeled""}"
Programming & Computing 3,21,fill_blank,Software that damages computers is called _______.,,malware,,,,,1,
Programming & Computing 3,22,mcq,What is the main function of RAM?,"[""Store files permanently"", ""Temporary memory for running programs"", ""Connect to the internet"", ""Display graphics""]",Temporary memory for running programs,,,,,1,
Programming & Computing 3,23,mcq,Which is an output device?,"[""Mouse"", ""Keyboard"", ""Scanner"", ""Printer""]",Printer,,,,,1,
Programming & Computing 3,24,fill_blank,Software that is free to use is called _______ software.,,freeware,,,,,1,
Programming & Computing 3,25,written,Explain the difference between LAN and WAN.,,"LAN (Local Area Network) covers a small area like a school or home. WAN (Wide Area Network) covers large areas, even countries. The internet is the largest WAN.",,,,,3,
Programming & Computing 3,26,fill_blank,The brain of the computer is the _______.,,CPU,,,,,1,
Programming & Computing 3,27,fill_blank,Unwanted commercial email is called _______.,,spam,,,,,1,
Programming & Computing 3,28,mcq,What is phishing?,"[""A fishing game"", ""Trick emails to steal information"", ""A type of website"", ""A search engine""]",Trick emails to steal information,,,,,1,
Programming & Computing 3,29,matching,Match the function to what it does,,"SUM-Adds numbers, AVERAGE-Finds mean, MAX-Finds highest, MIN-Finds lowest","[{""left"": ""SUM"", ""right"": ""Adds numbers""}, {""left"": ""AVERAGE"", ""right"": ""Finds mean""}, {""left"": ""MAX"", ""right"": ""Finds highest""}, {""left"": ""MIN"", ""right"": ""Finds lowest""}]",,,,4,
Programming & Computing 3,30,fill_blank,RAM stands for Random _______ Memory.,,Access,,,,,1,
Programming & Computing 3,31,written,List 3 rules for staying safe online.,,1. Never share personal information. 2. Use strong passwords. 3. Tell an adult if something makes you uncomfortable. 4. Only visit trusted websites.,,,,,3,
Programming & Computing 3,32,fill_blank,The flowchart symbol for start and end is an _______.,,oval,,,,,1,
Programming & Computing 3,33,fill_blank,A computer that provides services to other computers is called a _______.,,server,,,,,1,
Programming & Computing 3,34,mcq,Which is personal information you should NOT share online?,"[""Your favorite color"", ""Your home address"", ""Your favorite book"", ""The weather""]",Your home address,,,,,1,
Programming & Computing 3,35,written,Explain the difference between RAM and ROM.,,RAM (Random Access Memory) is temporary memory that loses data when powered off. ROM (Read Only Memory) is permanent memory that keeps data even when powered off.,,,,,3,
Programming & Computing 3,36,drawing,Draw a flowchart for deciding if a number is positive or negative.,,"Flowchart with Start, Input number, Decision (>0?), Output positive/negative, End",,,,,5,"{""type"": ""flowchart"", ""instructions"": ""Use oval for start/end, diamond for decision, rectangle for process""}"
Programming & Computing 3,37,fill_blank,The formula =A1+B1 will _______ the values in cells A1 and B1.,,add,,,,,1,
Programming & Computing 3,38,drawing,Draw lines to connect each input device to the correct computer port.,,Lines connecting devices to appropriate ports,,,,,3,"{""type"": ""connect"", ""instructions"": ""Match devices to ports""}"
Programming & Computing 3,39,fill_blank,A _______ is used to repeat code until a condition is met.,,loop,,,,,1,
Programming & Computing 3,40,mcq,What does the IF statement check?,"[""A condition"", ""A variable name"", ""A file"", ""A website""]",A condition,,,,,1,
Programming & Computing 3,41,mcq,What is a web browser used for?,"[""Create documents"", ""View websites"", ""Edit photos"", ""Play games only""]",View websites,,,,,1,
Programming & Computing 3,42,written,Write an algorithm (step-by-step instructions) for brushing your teeth.,,1. Pick up toothbrush. 2. Put toothpaste on brush. 3. Wet the brush. 4. Brush teeth for 2 minutes. 5. Rinse mouth. 6. Put brush away.,,,,,4,
Programming & Computing 3,43,mcq,What does the lock icon in a browser address bar mean?,"[""Site is blocked"", ""Connection is secure"", ""Site is slow"", ""You cannot use the site""]",Connection is secure,,,,,1,
Programming & Computing 3,44,fill_blank,USB stands for Universal _______ Bus.,,Serial,,,,,1,
Programming & Computing 3,45,mcq,Which device connects a computer to the internet?,"[""Monitor"", ""Keyboard"", ""Router"", ""Speaker""]",Router,,,,,1,
Programming & Computing 3,46,fill_blank,A set of step-by-step instructions to solve a problem is called an _______.,,algorithm,,,,,1,
Programming & Computing 3,47,matching,Match the network device to its function,,"Router-Connects networks, Switch-Connects devices in LAN, Modem-Converts signals, Server-Stores and shares data","[{""left"": ""Router"", ""right"": ""Connects networks""}, {""left"": ""Switch"", ""right"": ""Connects devices in LAN""}, {""left"": ""Modem"", ""right"": ""Converts signals""}, {""left"": ""Server"", ""right"": ""Stores and shares data""}]",,,,4,
Programming & Computing 3,48,mcq,What symbol do formulas in Excel start with?,"[""#"", ""$"", ""="", ""@""]",=,,,,,1,
Programming & Computing 3,49,mcq,Which software would you use to create a presentation?,"[""Excel"", ""Word"", ""PowerPoint"", ""Paint""]",PowerPoint,,,,,1,
Programming & Computing 3,50,written,Explain why you should not click on links in emails from unknown senders.,,"Unknown links may contain viruses, lead to fake websites, or try to steal your personal information through phishing attacks.",,,,,3,
Digital Skills Assessment 4,1,mcq,What does the CPU do?,"[""Stores data permanently"", ""Processes instructions"", ""Displays images"", ""Prints documents""]",Processes instructions,,,,,1,
Digital Skills Assessment 4,2,written,Explain when you would use a bar chart instead of a line chart.,,Bar charts are used to compare different categories or groups. Line charts are used to show changes over time.,,,,,3,
Digital Skills Assessment 4,3,matching,Match the device to its type,,"Keyboard-Input, Monitor-Output, Hard Drive-Storage, Mouse-Input","[{""left"": ""Keyboard"", ""right"": ""Input""}, {""left"": ""Monitor"", ""right"": ""Output""}, {""left"": ""Hard Drive"", ""right"": ""Storage""}, {""left"": ""Mouse"", ""right"": ""Input""}]",,,,4,
Digital Skills Assessment 4,4,matching,Match the software to its purpose,,"Word-Writing documents, Excel-Making spreadsheets, PowerPoint-Creating presentations, Paint-Drawing pictures","[{""left"": ""Word"", ""right"": ""Writing documents""}, {""left"": ""Excel"", ""right"": ""Making spreadsheets""}, {""left"": ""PowerPoint"", ""right"": ""Creating presentations""}, {""left"": ""Paint"", ""right"": ""Drawing pictures""}]",,,,4,
Digital Skills Assessment 4,5,mcq,Which function adds up numbers in Excel?,"[""AVERAGE"", ""COUNT"", ""SUM"", ""MAX""]",SUM,,,,,1,
Digital Skills Assessment 4,6,fill_blank,USB stands for Universal _______ Bus.,,Serial,,,,,1,
Digital Skills Assessment 4,7,mcq,"In Excel, what is a cell?","[""A row"", ""A column"", ""The intersection of a row and column"", ""A formula""]",The intersection of a row and column,,,,,1,
Digital Skills Assessment 4,8,mcq,Which device converts printed documents into digital format?,"[""Printer"", ""Scanner"", ""Webcam"", ""Microphone""]",Scanner,,,,,1,
Digital Skills Assessment 4,9,fill_blank,CPU stands for _______ Processing Unit.,,Central,,,,,1,
Digital Skills Assessment 4,10,drawing,Complete the missing decision box in this flowchart for checking if someone can vote (age >= 18).,,"Decision diamond with ""Age >= 18?"" and Yes/No branches",,,,,3,"{""type"": ""flowchart"", ""instructions"": ""Fill in the missing decision""}"
Digital Skills Assessment 4,11,mcq,Which of these is an input device?,"[""Printer"", ""Speaker"", ""Keyboard"", ""Monitor""]",Keyboard,,,,,1,
Digital Skills Assessment 4,12,mcq,"In Scratch, which block makes a sprite move?","[""say"", ""move"", ""wait"", ""ask""]",move,,,,,1,
Digital Skills Assessment 4,13,mcq,What does the IF statement check?,"[""A condition"", ""A variable name"", ""A file"", ""A website""]",A condition,,,,,1,
Digital Skills Assessment 4,14,written,Explain the difference between system software and application software. Give one example of each.,,"System software (e.g., Windows) controls hardware and runs the computer. Application software (e.g., Word) helps users do specific tasks like writing documents.",,,,,3,
Digital Skills Assessment 4,15,fill_blank,Unwanted commercial email is called _______.,,spam,,,,,1,
Digital Skills Assessment 4,16,mcq,Which is personal information you should NOT share online?,"[""Your favorite color"", ""Your home address"", ""Your favorite book"", ""The weather""]",Your home address,,,,,1,
Digital Skills Assessment 4,17,mcq,Which is NOT an operating system?,"[""Windows"", ""macOS"", ""Linux"", ""Microsoft Office""]",Microsoft Office,,,,,1,
Digital Skills Assessment 4,18,written,Why is it important to update your operating system regularly?,,"Updates fix security problems, add new features, improve performance, and fix bugs that could cause the computer to malfunction.",,,,,3,
Digital Skills Assessment 4,19,drawing,"Draw and label a simple computer system showing: Monitor, CPU (System Unit), Keyboard, and Mouse.",,"Drawing showing monitor, CPU unit, keyboard, and mouse with labels",,,,,4,"{""type"": ""freehand"", ""instructions"": ""Draw a computer setup with 4 components labeled""}"
Digital Skills Assessment 4,20,mcq,What does WAN stand for?,"[""Wide Area Network"", ""Wireless Area Network"", ""Web Area Network"", ""World Area Network""]",Wide Area Network,,,,,1,
Digital Skills Assessment 4,21,mcq,What type of software is Microsoft Word?,"[""Operating system"", ""Word processor"", ""Web browser"", ""Game""]",Word processor,,,,,1,
Digital Skills Assessment 4,22,fill_blank,A _______ is a program that lets you view websites.,,browser,,,,,1,
Digital Skills Assessment 4,23,matching,Match the internet term to its meaning,,"Browser-Views websites, Email-Electronic mail, Password-Secret code to login, Download-Get files from internet","[{""left"": ""Browser"", ""right"": ""Views websites""}, {""left"": ""Email"", ""right"": ""Electronic mail""}, {""left"": ""Password"", ""right"": ""Secret code to login""}, {""left"": ""Download"", ""right"": ""Get files from internet""}]",,,,4,
Digital Skills Assessment 4,24,fill_blank,The worldwide network of computers is called the _______.,,internet,,,,,1,
Digital Skills Assessment 4,25,mcq,Which device connects a computer to the internet?,"[""Monitor"", ""Keyboard"", ""Router"", ""Speaker""]",Router,,,,,1,
