question_set_title,question_number,question_type,question_text,options,correct_answer,matching_pairs,labels,explanation,hint,marks,drawing_template
Reading & Writing Skills 1,31,mcq,Which sentence uses a colon correctly?,"[""I need: eggs and milk."", ""I need these items: eggs and milk."", ""I: need eggs and milk."", ""I need eggs: and milk.""]",I need these items: eggs and milk.,,,,,1,
Reading & Writing Skills 1,32,fill_blank,Correct the spelling: She showed great _______ (independance).,,independence,,,,,1,
Reading & Writing Skills 1,33,written,Combine these sentences: The cat is fluffy. The cat is orange.,,The cat is fluffy and orange. / The fluffy cat is orange.,,,,,2,
Reading & Writing Skills 1,34,mcq,Identify the adjective: The bright sun rose early.,"[""sun"", ""rose"", ""bright"", ""early""]",bright,,,,,1,
Reading & Writing Skills 1,35,mcq,Which is spelled correctly?,"[""occurence"", ""occurrence"", ""occurrance"", ""occurance""]",occurrence,,,,,1,
Reading & Writing Skills 1,36,fill_blank,A person who writes books is called an _______.,,author,,,,,1,
Reading & Writing Skills 1,37,mcq,Identify the noun in: Happiness is important.,"[""is"", ""important"", ""Happiness"", ""none""]",Happiness,,,,,1,
Reading & Writing Skills 1,38,mcq,Which word is a verb?,"[""beautiful"", ""running"", ""happy"", ""the""]",running,,,,,1,
Reading & Writing Skills 1,39,fill_blank,"The plural of ""mouse"" is _______.",,mice,,,,,1,
Reading & Writing Skills 1,40,fill_blank,Correct the spelling: The _______ (libary) is closed today.,,library,,,,,1,
Reading & Writing Skills 1,41,written,Write a sentence using a semicolon correctly.,,Example: I love reading; my sister prefers sports.,,,,,2,
Reading & Writing Skills 1,42,matching,Match the words to their correct definitions:,,"1-A,2-B,3-C,4-D","[{""left"": ""Brave"", ""right"": ""Having courage""}, {""left"": ""Ancient"", ""right"": ""Very old""}, {""left"": ""Rapid"", ""right"": ""Moving fast""}, {""left"": ""Enormous"", ""right"": ""Very large""}]",,,,4,
Reading & Writing Skills 1,43,matching,Match the animals to their habitats:,,"1-A,2-B,3-C,4-D","[{""left"": ""Fish"", ""right"": ""Ocean""}, {""left"": ""Camel"", ""right"": ""Desert""}, {""left"": ""Penguin"", ""right"": ""Antarctica""}, {""left"": ""Monkey"", ""right"": ""Rainforest""}]",,,,4,
Grammar & Vocabulary 2,1,fill_blank,Correct the spelling: The _______ (neccessary) items are in the bag.,,necessary,,,,,1,
Grammar & Vocabulary 2,2,mcq,Which is a proper noun?,"[""city"", ""river"", ""Malaysia"", ""school""]",Malaysia,,,,,1,
Grammar & Vocabulary 2,3,fill_blank,"The plural of ""child"" is _______.",,children,,,,,1,
Grammar & Vocabulary 2,4,mcq,"The old lighthouse stood on the rocky cliff, its beam cutting through the foggy night. What does the lighthouse do?","[""Creates fog"", ""Shines light through fog"", ""Stands on water"", ""Hides from ships""]",Shines light through fog,,,,,1,
Grammar & Vocabulary 2,5,mcq,Which is a compound sentence?,"[""I went home."", ""The cat slept."", ""I went home and my sister stayed."", ""Running fast.""]",I went home and my sister stayed.,,,,,1,
Grammar & Vocabulary 2,6,mcq,"Maya practiced the piano every day for months. When the recital came, her fingers danced across the keys effortlessly. What can you infer about Maya?","[""She never practiced"", ""Her hard work paid off"", ""She hates piano"", ""She played poorly""]",Her hard work paid off,,,,,1,
Grammar & Vocabulary 2,7,mcq,Which word is spelled correctly?,"[""seperate"", ""separate"", ""separete"", ""seprate""]",separate,,,,,1,
Grammar & Vocabulary 2,8,mcq,Choose the correct spelling:,"[""accomodation"", ""accommodation"", ""acomodation"", ""acommodation""]",accommodation,,,,,1,
Grammar & Vocabulary 2,9,mcq,Identify the noun in: Happiness is important.,"[""is"", ""important"", ""Happiness"", ""none""]",Happiness,,,,,1,
Grammar & Vocabulary 2,10,mcq,Which word is a verb?,"[""beautiful"", ""running"", ""happy"", ""the""]",running,,,,,1,
Grammar & Vocabulary 2,11,mcq,"""Enormous"" is a synonym for:","[""tiny"", ""huge"", ""average"", ""minimal""]",huge,,,,,1,
Grammar & Vocabulary 2,12,mcq,Which is spelled correctly?,"[""occurence"", ""occurrence"", ""occurrance"", ""occurance""]",occurrence,,,,,1,
Grammar & Vocabulary 2,13,mcq,Identify the pronoun in: They visited their grandmother yesterday.,"[""visited"", ""grandmother"", ""They"", ""yesterday""]",They,,,,,1,
Grammar & Vocabulary 2,14,mcq,Choose the correct spelling:,"[""definately"", ""definitly"", ""definitely"", ""definatly""]",definitely,,,,,1,
Grammar & Vocabulary 2,15,mcq,Which sentence is a question?,"[""The dog runs fast."", ""Where is my book?"", ""I love pizza!"", ""Please sit down.""]",Where is my book?,,,,,1,
Grammar & Vocabulary 2,16,fill_blank,"The plural of ""mouse"" is _______.",,mice,,,,,1,
Grammar & Vocabulary 2,17,mcq,Which is spelled correctly?,"[""goverment"", ""government"", ""goverment"", ""governmant""]",government,,,,,1,
Grammar & Vocabulary 2,18,written,List 3 adjectives to describe a sunset.,,"Examples: beautiful, orange, peaceful, stunning, colorful",,,,,2,
Grammar & Vocabulary 2,19,fill_blank,Correct the spelling: She showed great _______ (independance).,,independence,,,,,1,
Grammar & Vocabulary 2,20,fill_blank,Correct the spelling: The _______ (libary) is closed today.,,library,,,,,1,
Grammar & Vocabulary 2,21,mcq,"Which word means ""to make something clear""?","[""confuse"", ""clarify"", ""complicate"", ""conceal""]",clarify,,,,,1,
Grammar & Vocabulary 2,22,written,Rewrite the following sentence in passive voice: The cat chased the mouse.,,The mouse was chased by the cat.,,,,,2,
Grammar & Vocabulary 2,23,written,"Read: ""The rainforest is often called the lungs of the Earth because it produces much of the world's oxygen."" Why is this comparison made?",,"Just as lungs help us breathe by processing air, rainforests produce oxygen that the world needs. Both are essential for life.",,,,,3,
Grammar & Vocabulary 2,24,mcq,Which word is a conjunction?,"[""quickly"", ""however"", ""beautiful"", ""happily""]",however,,,,,1,
Grammar & Vocabulary 2,25,mcq,Choose the correct spelling:,"[""environment"", ""enviroment"", ""enviornment"", ""enviorment""]",environment,,,,,1,
Grammar & Vocabulary 2,26,mcq,Which sentence uses the past perfect tense correctly?,"[""I have eaten lunch."", ""I had eaten lunch before she arrived."", ""I eat lunch daily."", ""I will have eaten.""]",I had eaten lunch before she arrived.,,,,,1,
Grammar & Vocabulary 2,27,mcq,"Choose the antonym of ""genuine"":","[""real"", ""authentic"", ""fake"", ""true""]",fake,,,,,1,
Grammar & Vocabulary 2,28,mcq,Identify the adjective: The bright sun rose early.,"[""sun"", ""rose"", ""bright"", ""early""]",bright,,,,,1,
Grammar & Vocabulary 2,29,written,"Explain the difference between ""their"", ""there"", and ""they're"". Give an example sentence for each.",,"Their = possessive (their book), There = place (over there), They're = they are (they're happy)",,,,,3,
Grammar & Vocabulary 2,30,mcq,"The object in ""She reads books"" is:","[""She"", ""reads"", ""books"", ""She reads""]",books,,,,,1,
Grammar & Vocabulary 2,31,mcq,"What type of word is ""under""?","[""noun"", ""verb"", ""preposition"", ""adjective""]",preposition,,,,,1,
Grammar & Vocabulary 2,32,written,Explain why authors use metaphors in their writing. Give an example.,,"Authors use metaphors to create vivid imagery and help readers understand ideas by comparing them to familiar things. Example: ""Time is money"" compares time to money to show its value.",,,,,3,
Grammar & Vocabulary 2,33,fill_blank,A person who writes books is called an _______.,,author,,,,,1,
Grammar & Vocabulary 2,34,mcq,Choose the correct word: She ____ to school every day.,"[""go"", ""goes"", ""going"", ""gone""]",goes,,,,,1,
Grammar & Vocabulary 2,35,mcq,Which sentence uses a colon correctly?,"[""I need: eggs and milk."", ""I need these items: eggs and milk."", ""I: need eggs and milk."", ""I need eggs: and milk.""]",I need these items: eggs and milk.,,,,,1,
Grammar & Vocabulary 2,36,fill_blank,"The opposite of ""generous"" is _______.",,selfish,,,,,1,
Grammar & Vocabulary 2,37,fill_blank,Correct the spelling: It was a _______ (beautifull) day.,,beautiful,,,,,1,
Grammar & Vocabulary 2,38,fill_blank,"The comparative form of ""good"" is _______.",,better,,,,,1,
Grammar & Vocabulary 2,39,fill_blank,Add the correct punctuation: Its a lovely day,,It's a lovely day.,,,,,1,
Grammar & Vocabulary 2,40,fill_blank,"The past tense of ""run"" is _______.",,ran,,,,,1,
Grammar & Vocabulary 2,41,written,Write a sentence using a semicolon correctly.,,Example: I love reading; my sister prefers sports.,,,,,2,
Grammar & Vocabulary 2,42,matching,Match the synonyms (words with similar meanings):,,"1-A,2-B,3-C,4-D","[{""left"": ""Happy"", ""right"": ""Joyful""}, {""left"": ""Sad"", ""right"": ""Unhappy""}, {""left"": ""Big"", ""right"": ""Large""}, {""left"": ""Small"", ""right"": ""Tiny""}]",,,,4,
Grammar & Vocabulary 2,43,matching,Match the antonyms (words with opposite meanings):,,"1-A,2-B,3-C,4-D","[{""left"": ""Hot"", ""right"": ""Cold""}, {""left"": ""Day"", ""right"": ""Night""}, {""left"": ""Up"", ""right"": ""Down""}, {""left"": ""Fast"", ""right"": ""Slow""}]",,,,4,
Reading & Writing Skills 3,1,mcq,Which is a compound sentence?,"[""I went home."", ""The cat slept."", ""I went home and my sister stayed."", ""Running fast.""]",I went home and my sister stayed.,,,,,1,
Reading & Writing Skills 3,2,mcq,"What does ""abundant"" mean?","[""scarce"", ""plentiful"", ""tiny"", ""dark""]",plentiful,,,,,1,
Reading & Writing Skills 3,3,fill_blank,"The opposite of ""generous"" is _______.",,selfish,,,,,1,
Reading & Writing Skills 3,4,mcq,Which word is an adverb?,"[""beautiful"", ""quickly"", ""happy"", ""table""]",quickly,,,,,1,
Reading & Writing Skills 3,5,mcq,Choose the correct spelling:,"[""environment"", ""enviroment"", ""enviornment"", ""enviorment""]",environment,,,,,1,
Reading & Writing Skills 3,6,mcq,"The old lighthouse stood on the rocky cliff, its beam cutting through the foggy night. What does the lighthouse do?","[""Creates fog"", ""Shines light through fog"", ""Stands on water"", ""Hides from ships""]",Shines light through fog,,,,,1,
Reading & Writing Skills 3,7,mcq,Identify the adjective: The bright sun rose early.,"[""sun"", ""rose"", ""bright"", ""early""]",bright,,,,,1,
Reading & Writing Skills 3,8,written,"Read: ""The rainforest is often called the lungs of the Earth because it produces much of the world's oxygen."" Why is this comparison made?",,"Just as lungs help us breathe by processing air, rainforests produce oxygen that the world needs. Both are essential for life.",,,,,3,
Reading & Writing Skills 3,9,written,Explain why authors use metaphors in their writing. Give an example.,,"Authors use metaphors to create vivid imagery and help readers understand ideas by comparing them to familiar things. Example: ""Time is money"" compares time to money to show its value.",,,,,3,
Reading & Writing Skills 3,10,fill_blank,"The plural of ""mouse"" is _______.",,mice,,,,,1,
Reading & Writing Skills 3,11,fill_blank,Add the correct punctuation: Its a lovely day,,It's a lovely day.,,,,,1,
Reading & Writing Skills 3,12,mcq,Which sentence is a question?,"[""The dog runs fast."", ""Where is my book?"", ""I love pizza!"", ""Please sit down.""]",Where is my book?,,,,,1,
Reading & Writing Skills 3,13,mcq,Which sentence uses the past perfect tense correctly?,"[""I have eaten lunch."", ""I had eaten lunch before she arrived."", ""I eat lunch daily."", ""I will have eaten.""]",I had eaten lunch before she arrived.,,,,,1,
Reading & Writing Skills 3,14,written,Rewrite the following sentence in passive voice: The cat chased the mouse.,,The mouse was chased by the cat.,,,,,2,
Reading & Writing Skills 3,15,mcq,Identify the noun in: Happiness is important.,"[""is"", ""important"", ""Happiness"", ""none""]",Happiness,,,,,1,
Reading & Writing Skills 3,16,mcq,Choose the correct spelling:,"[""tommorrow"", ""tomorow"", ""tomorrow"", ""tommorow""]",tomorrow,,,,,1,
Reading & Writing Skills 3,17,mcq,Choose the correct spelling:,"[""accomodation"", ""accommodation"", ""acomodation"", ""acommodation""]",accommodation,,,,,1,
Reading & Writing Skills 3,18,mcq,"The object in ""She reads books"" is:","[""She"", ""reads"", ""books"", ""She reads""]",books,,,,,1,
Reading & Writing Skills 3,19,fill_blank,"The past tense of ""run"" is _______.",,ran,,,,,1,
Reading & Writing Skills 3,20,mcq,Which word is spelled correctly?,"[""recieve"", ""receive"", ""receve"", ""receeve""]",receive,,,,,1,
Reading & Writing Skills 3,21,mcq,Choose the correct word: She ____ to school every day.,"[""go"", ""goes"", ""going"", ""gone""]",goes,,,,,1,
Reading & Writing Skills 3,22,mcq,Which word is spelled correctly?,"[""seperate"", ""separate"", ""separete"", ""seprate""]",separate,,,,,1,
Reading & Writing Skills 3,23,written,List 3 adjectives to describe a sunset.,,"Examples: beautiful, orange, peaceful, stunning, colorful",,,,,2,
Reading & Writing Skills 3,24,written,Combine these sentences: The cat is fluffy. The cat is orange.,,The cat is fluffy and orange. / The fluffy cat is orange.,,,,,2,
Reading & Writing Skills 3,25,mcq,"Which word means ""to make something clear""?","[""confuse"", ""clarify"", ""complicate"", ""conceal""]",clarify,,,,,1,
Reading & Writing Skills 3,26,fill_blank,Correct the spelling: The _______ (libary) is closed today.,,library,,,,,1,
Reading & Writing Skills 3,27,fill_blank,"The plural of ""child"" is _______.",,children,,,,,1,
Reading & Writing Skills 3,28,mcq,Identify the pronoun in: They visited their grandmother yesterday.,"[""visited"", ""grandmother"", ""They"", ""yesterday""]",They,,,,,1,
Reading & Writing Skills 3,29,fill_blank,Correct the spelling: It was a _______ (beautifull) day.,,beautiful,,,,,1,
Reading & Writing Skills 3,30,mcq,Which is spelled correctly?,"[""goverment"", ""government"", ""goverment"", ""governmant""]",government,,,,,1,
Reading & Writing Skills 3,31,fill_blank,Correct the spelling: She showed great _______ (independance).,,independence,,,,,1,
Reading & Writing Skills 3,32,written,"Explain the difference between ""their"", ""there"", and ""they're"". Give an example sentence for each.",,"Their = possessive (their book), There = place (over there), They're = they are (they're happy)",,,,,3,
Reading & Writing Skills 3,33,mcq,Choose the correct spelling:,"[""definately"", ""definitly"", ""definitely"", ""definatly""]",definitely,,,,,1,
Reading & Writing Skills 3,34,mcq,"Maya practiced the piano every day for months. When the recital came, her fingers danced across the keys effortlessly. What can you infer about Maya?","[""She never practiced"", ""Her hard work paid off"", ""She hates piano"", ""She played poorly""]",Her hard work paid off,,,,,1,
Reading & Writing Skills 3,35,mcq,"Select the correct form: If I ____ you, I would apologize.","[""am"", ""was"", ""were"", ""be""]",were,,,,,1,
Reading & Writing Skills 3,36,written,Write a sentence using a semicolon correctly.,,Example: I love reading; my sister prefers sports.,,,,,2,
Reading & Writing Skills 3,37,fill_blank,"The past tense of ""swim"" is _______.",,swam,,,,,1,
Reading & Writing Skills 3,38,mcq,Which is spelled correctly?,"[""occurence"", ""occurrence"", ""occurrance"", ""occurance""]",occurrence,,,,,1,
Reading & Writing Skills 3,39,mcq,Identify the subject in: The tall boy kicked the ball.,"[""kicked"", ""ball"", ""tall"", ""The tall boy""]",The tall boy,,,,,1,
Reading & Writing Skills 3,40,mcq,Which word is a conjunction?,"[""quickly"", ""however"", ""beautiful"", ""happily""]",however,,,,,1,
Reading & Writing Skills 3,41,mcq,Which sentence uses a colon correctly?,"[""I need: eggs and milk."", ""I need these items: eggs and milk."", ""I: need eggs and milk."", ""I need eggs: and milk.""]",I need these items: eggs and milk.,,,,,1,
Reading & Writing Skills 3,42,mcq,"What type of word is ""under""?","[""noun"", ""verb"", ""preposition"", ""adjective""]",preposition,,,,,1,
Reading & Writing Skills 3,43,mcq,"Choose the antonym of ""genuine"":","[""real"", ""authentic"", ""fake"", ""true""]",fake,,,,,1,
Reading & Writing Skills 3,44,written,"Use the word ""reluctant"" in a sentence that shows you understand its meaning.",,Example: She was reluctant to speak in front of the class because she felt nervous.,,,,,2,
Reading & Writing Skills 3,45,mcq,Which word is a verb?,"[""beautiful"", ""running"", ""happy"", ""the""]",running,,,,,1,
Reading & Writing Skills 3,46,fill_blank,Correct the spelling: The _______ (neccessary) items are in the bag.,,necessary,,,,,1,
Reading & Writing Skills 3,47,fill_blank,"The comparative form of ""good"" is _______.",,better,,,,,1,
Reading & Writing Skills 3,48,mcq,Which is a proper noun?,"[""city"", ""river"", ""Malaysia"", ""school""]",Malaysia,,,,,1,
Reading & Writing Skills 3,49,fill_blank,A person who writes books is called an _______.,,author,,,,,1,
English Language Practice 4,1,mcq,Which is spelled correctly?,"[""goverment"", ""government"", ""goverment"", ""governmant""]",government,,,,,1,
English Language Practice 4,2,mcq,Choose the correct spelling:,"[""definately"", ""definitly"", ""definitely"", ""definatly""]",definitely,,,,,1,
English Language Practice 4,3,mcq,"Select the correct form: If I ____ you, I would apologize.","[""am"", ""was"", ""were"", ""be""]",were,,,,,1,
English Language Practice 4,4,mcq,Which sentence is a question?,"[""The dog runs fast."", ""Where is my book?"", ""I love pizza!"", ""Please sit down.""]",Where is my book?,,,,,1,
English Language Practice 4,5,mcq,Choose the correct spelling:,"[""environment"", ""enviroment"", ""enviornment"", ""enviorment""]",environment,,,,,1,
English Language Practice 4,6,mcq,Choose the correct spelling:,"[""accomodation"", ""accommodation"", ""acomodation"", ""acommodation""]",accommodation,,,,,1,
English Language Practice 4,7,fill_blank,"The opposite of ""generous"" is _______.",,selfish,,,,,1,
English Language Practice 4,8,mcq,Identify the adjective: The bright sun rose early.,"[""sun"", ""rose"", ""bright"", ""early""]",bright,,,,,1,
English Language Practice 4,9,written,"Read: ""The rainforest is often called the lungs of the Earth because it produces much of the world's oxygen."" Why is this comparison made?",,"Just as lungs help us breathe by processing air, rainforests produce oxygen that the world needs. Both are essential for life.",,,,,3,
English Language Practice 4,10,mcq,"What does ""abundant"" mean?","[""scarce"", ""plentiful"", ""tiny"", ""dark""]",plentiful,,,,,1,
English Language Practice 4,11,mcq,Identify the subject in: The tall boy kicked the ball.,"[""kicked"", ""ball"", ""tall"", ""The tall boy""]",The tall boy,,,,,1,
English Language Practice 4,12,mcq,"Choose the antonym of ""genuine"":","[""real"", ""authentic"", ""fake"", ""true""]",fake,,,,,1,
English Language Practice 4,13,mcq,Which word is spelled correctly?,"[""seperate"", ""separate"", ""separete"", ""seprate""]",separate,,,,,1,
English Language Practice 4,14,mcq,Which is a compound sentence?,"[""I went home."", ""The cat slept."", ""I went home and my sister stayed."", ""Running fast.""]",I went home and my sister stayed.,,,,,1,
English Language Practice 4,15,mcq,Identify the noun in: Happiness is important.,"[""is"", ""important"", ""Happiness"", ""none""]",Happiness,,,,,1,
English Language Practice 4,16,fill_blank,Correct the spelling: The _______ (neccessary) items are in the bag.,,necessary,,,,,1,
English Language Practice 4,17,mcq,"The object in ""She reads books"" is:","[""She"", ""reads"", ""books"", ""She reads""]",books,,,,,1,
English Language Practice 4,18,mcq,Which is spelled correctly?,"[""occurence"", ""occurrence"", ""occurrance"", ""occurance""]",occurrence,,,,,1,
English Language Practice 4,19,fill_blank,A person who writes books is called an _______.,,author,,,,,1,
English Language Practice 4,20,fill_blank,Add the correct punctuation: Its a lovely day,,It's a lovely day.,,,,,1,
English Language Practice 4,21,written,Write a sentence using a semicolon correctly.,,Example: I love reading; my sister prefers sports.,,,,,2,
English Language Practice 4,22,mcq,Identify the pronoun in: They visited their grandmother yesterday.,"[""visited"", ""grandmother"", ""They"", ""yesterday""]",They,,,,,1,
English Language Practice 4,23,mcq,"Maya practiced the piano every day for months. When the recital came, her fingers danced across the keys effortlessly. What can you infer about Maya?","[""She never practiced"", ""Her hard work paid off"", ""She hates piano"", ""She played poorly""]",Her hard work paid off,,,,,1,
English Language Practice 4,24,fill_blank,Correct the spelling: She showed great _______ (independance).,,independence,,,,,1,
English Language Practice 4,25,mcq,Which word is a conjunction?,"[""quickly"", ""however"", ""beautiful"", ""happily""]",however,,,,,1,
English Language Practice 4,26,mcq,"Which word means ""to make something clear""?","[""confuse"", ""clarify"", ""complicate"", ""conceal""]",clarify,,,,,1,
English Language Practice 4,27,mcq,"""Enormous"" is a synonym for:","[""tiny"", ""huge"", ""average"", ""minimal""]",huge,,,,,1,
English Language Practice 4,28,mcq,Choose the correct word: She ____ to school every day.,"[""go"", ""goes"", ""going"", ""gone""]",goes,,,,,1,
English Language Practice 4,29,mcq,Which sentence uses the past perfect tense correctly?,"[""I have eaten lunch."", ""I had eaten lunch before she arrived."", ""I eat lunch daily."", ""I will have eaten.""]",I had eaten lunch before she arrived.,,,,,1,
English Language Practice 4,30,mcq,Choose the correct spelling:,"[""tommorrow"", ""tomorow"", ""tomorrow"", ""tommorow""]",tomorrow,,,,,1,
English Language Practice 4,31,fill_blank,"The plural of ""mouse"" is _______.",,mice,,,,,1,
English Language Practice 4,32,mcq,"The old lighthouse stood on the rocky cliff, its beam cutting through the foggy night. What does the lighthouse do?","[""Creates fog"", ""Shines light through fog"", ""Stands on water"", ""Hides from ships""]",Shines light through fog,,,,,1,
English Language Practice 4,33,fill_blank,Correct the spelling: The _______ (libary) is closed today.,,library,,,,,1,
English Language Practice 4,34,written,Rewrite the following sentence in passive voice: The cat chased the mouse.,,The mouse was chased by the cat.,,,,,2,
English Language Practice 4,35,written,"Explain the difference between ""their"", ""there"", and ""they're"". Give an example sentence for each.",,"Their = possessive (their book), There = place (over there), They're = they are (they're happy)",,,,,3,
English Language Practice 4,36,fill_blank,"The comparative form of ""good"" is _______.",,better,,,,,1,
English Language Practice 4,37,fill_blank,"The past tense of ""swim"" is _______.",,swam,,,,,1,
English Language Practice 4,38,written,List 3 adjectives to describe a sunset.,,"Examples: beautiful, orange, peaceful, stunning, colorful",,,,,2,
English Language Practice 4,39,mcq,Which is a proper noun?,"[""city"", ""river"", ""Malaysia"", ""school""]",Malaysia,,,,,1,
English Language Practice 4,40,fill_blank,"The plural of ""child"" is _______.",,children,,,,,1,
English Language Practice 4,41,mcq,Which word is a verb?,"[""beautiful"", ""running"", ""happy"", ""the""]",running,,,,,1,
English Language Practice 4,42,written,Explain why authors use metaphors in their writing. Give an example.,,"Authors use metaphors to create vivid imagery and help readers understand ideas by comparing them to familiar things. Example: ""Time is money"" compares time to money to show its value.",,,,,3,
English Language Practice 4,43,fill_blank,"The past tense of ""run"" is _______.",,ran,,,,,1,
English Language Practice 4,44,mcq,Which sentence uses a colon correctly?,"[""I need: eggs and milk."", ""I need these items: eggs and milk."", ""I: need eggs and milk."", ""I need eggs: and milk.""]",I need these items: eggs and milk.,,,,,1,
English Language Practice 4,45,mcq,"What type of word is ""under""?","[""noun"", ""verb"", ""preposition"", ""adjective""]",preposition,,,,,1,
Grammar & Vocabulary 5,1,mcq,Choose the correct spelling:,"[""environment"", ""enviroment"", ""enviornment"", ""enviorment""]",environment,,,,,1,
Grammar & Vocabulary 5,2,fill_blank,A person who writes books is called an _______.,,author,,,,,1,
Grammar & Vocabulary 5,3,mcq,"""Enormous"" is a synonym for:","[""tiny"", ""huge"", ""average"", ""minimal""]",huge,,,,,1,
Grammar & Vocabulary 5,4,fill_blank,"The opposite of ""generous"" is _______.",,selfish,,,,,1,
Grammar & Vocabulary 5,5,fill_blank,"The past tense of ""swim"" is _______.",,swam,,,,,1,
Grammar & Vocabulary 5,6,mcq,"What type of word is ""under""?","[""noun"", ""verb"", ""preposition"", ""adjective""]",preposition,,,,,1,
Grammar & Vocabulary 5,7,mcq,Which sentence uses the past perfect tense correctly?,"[""I have eaten lunch."", ""I had eaten lunch before she arrived."", ""I eat lunch daily."", ""I will have eaten.""]",I had eaten lunch before she arrived.,,,,,1,
Grammar & Vocabulary 5,8,fill_blank,"The past tense of ""run"" is _______.",,ran,,,,,1,
